शीर्षक,डाउनलोड
"भूमि व्यवस्थापन सुदृढीकरण कार्यक्रम (सञ्चालन) कार्यविधि, २०६७",https://www.dolma.gov.np/uploads/document/m_118_241046_1497001022.pdf
"शंसोधित भूमि व्यवस्थापन शुद्धिकरण कार्यक्रम (सञ्चालन) कार्यविधि, २०६७",https://www.dolma.gov.np/uploads/document/m_118_737770_1554620950.PDF
"जग्गाको हदवन्दी छुट दिने सम्बन्धी आदेश, 2078",https://www.dolma.gov.np/uploads/document/1660715957जग्गाको हदबन्दी छुट दिने सम्बन्धी आदेश २०७८.pdf
सरकारी जग्गा दर्ता. उपयोग तथा लिजमा उपलब्ध गराउने सम्बन्धी कार्यनीति. 2079,"https://www.dolma.gov.np/uploads/document/1660716192सरकारी जग्गा दर्ता, उपयोग तथा लिजमा उपलब्ध गराउने सम्बन्धी कार्यनीति, २०७९.pdf"
"जग्गा प्रशासन कार्यविधी, २०६० भाग १",https://www.dolma.gov.np/uploads/document/m_118_274804_1497001136.pdf
"जग्गा प्रशासन कार्यविधी, २०६१ भाग २",https://www.dolma.gov.np/uploads/document/m_118_775223_1497001173.pdf
"जग्गा प्रशासन कार्यविधी, २०६२ भाग ३",https://www.dolma.gov.np/uploads/document/m_118_652522_1497001204.pdf
"भू-सूचना प्रणाली सम्बन्धी आन्तरिक कार्य सञ्‍चालन कार्यविधि, २०७४",https://www.dolma.gov.np/uploads/document/m_118_975325_1500877669.pdf
भूमि सम्बन्धी लगतको विद्युतीय अभिलेख तयार गर्ने सम्बन्धी कार्यविधि,https://www.dolma.gov.np/uploads/document/m_118_175421_1557809407.pdf
"जग्गाको हदबन्दी छुट दिने सम्वन्धी आदेश, २०७४",https://www.dolma.gov.np/uploads/document/m_118_878932_1612069258.pdf
"अनलाइन प्रणाली मार्फत धितो बन्धक रोक्‍का/रोक्‍का फुकुवा सम्बन्धी कार्याविधि, २०७८",https://www.dolma.gov.np/uploads/document/1639648996मस्यौदा भू-सेवा केन्द्र 8-24.pdf
