S. No.,Title,Group,Published Date,Download
1,"सूचनाको हक सम्वन्धी ऐन, २०६४ को दफा ५(३) र नियमावलीको नियम ३ बमोजिम सार्वजनिक गरिएको विवरण (२०७९।०४।०१ देखि २०७९।०६।३१ सम्मका गतिविधिहरु))",सूचनाको हक,२०२२-११-१३,http://deoc.gov.np/downloadfile/suchanakomhak_nep_1668335212.pdf
2,"सूचनाको हक सम्वन्धी ऐन, २०६४ को दफा ५(३) र नियमावलीको नियम ३ बमोजिम सार्वजनिक गरिएको विवरण (२०७९।०१।०१ देखि २०७९।०३।३१ सम्मका गतिविधिहरु))",सूचनाको हक,२०२२-०८-२५,http://deoc.gov.np/downloadfile/suchana_nep_1661415663.pdf
3,"सूचनाको हक सम्वन्धी ऐन, २०६४ को दफा ५(३) र नियमावलीको नियम ३ बमोजिम सार्वजनिक गरिएको विवरण (२०७८।१०।०१ देखि २०७८।१२।३१ सम्मका गतिविधिहरु))",सूचनाको हक,२०२२-०९-२७,http://deoc.gov.np/downloadfile/suchanako_nep_1656315385.pdf
4,"सूचनाको हक सम्वन्धी ऐन, २०६४ को दफा ५(३) र नियमावलीको नियम ३ बमोजिम सार्वजनिक गरिएको विवरण (२०७८।०७।०१ देखि २०७८।०९।३० सम्मका गतिविधिहरु))",सूचनाको हक,२०२२-०३-०२,http://deoc.gov.np/downloadfile/suchana-hak_nep_1646210097.pdf
5,"सूचनाको हक सम्वन्धी ऐन, २०६४ को दफा ५(३) र नियमावलीको नियम ३ बमोजिम सार्वजनिक गरिएको विवरण  (२०७७।०४।०१ देखि २०७७।०६।३० सम्मका मूख्य मुख्य गतिविधिहरु))",सूचनाको हक,२०२०-१०-१९,http://deoc.gov.np/downloadfile/नोटिस_nep_1603090114.pdf
6,"सूचनाको हक सम्वन्धी ऐन, २०६४ को दफा ५(३) र नियमावलीको नियम ३ बमोजिम सार्वजनिक गरिएको विवरण",सूचनाको हक,२०१९-१२-०४,http://deoc.gov.np/downloadfile/rti_kartik_2075_1575465592.docx
7,"(सूचनाको हक सम्बन्धी ऐन २०६४ को दफा ५(३) र सूचनाको हक सम्बन्धी नियमावली, २०६५ को नियम ३ बमोजिम सार्वजनिक गरिएको विवरण (२०७४ फागुन मसान्तसम्म)",सूचनाको हक,२०१९-१२-०४,http://deoc.gov.np/downloadfile/RTI_falgun_2074_1575465556.docx
8,"(सूचनाको हक सम्बन्धी ऐन २०६४ को दफा ५(३) र सूचनाको हक सम्बन्धी नियमावली, २०६५ को नियम ३ बमोजिम सार्वजनिक गरिएको विवरण (२०७४ आश्विन मसान्तसम्म)",सूचनाको हक,२०१९-१२-०४,http://deoc.gov.np/downloadfile/RTI_Aswin_2074_1575465522.docx
9,"(सूचनाको हक सम्बन्धी ऐन २०६४ को दफा ५(३) र सूचनाको हक सम्बन्धी नियमावली, २०६५ को नियम ३ बमोजिम सार्वजनिक गरिएको विवरण (२०७४ असार मसान्तसम्म)",सूचनाको हक,-,http://deoc.gov.np/downloadfile/RTI_Asar_1575465488.docx
10,"(सूचनाको हक सम्बन्धी ऐन २०६४ को दफा ५(३) र सूचनाको हक सम्बन्धी नियमावली, २०६५ को नियम ३ बमोजिम सार्वजनिक गरिएको विवरण (२०७३ चैत्र मसान्तसम्म)",सूचनाको हक,२०१९-१२-०४,http://deoc.gov.np/downloadfile/RTI_Chaitra_1575465445.docx
11,"सूचनाको हक सम्बन्धी ऐन २०६४ को दफा ५(३) र सूचनाको हक सम्बन्धी नियमावली, २०६५ को नियम ३ बमोजिम सार्वजनिक गरिएको विवरण (२०७३ पौष मसान्तसम्म)",सूचनाको हक,-,http://deoc.gov.np/downloadfile/Suchan_Aayot_Updated_1575465385.docx
